SEF	1.0.0
ID	1050
Name	'QuebecCity'
Lat	46.815
Lon	-71.211
Alt	32
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Spark'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1799	03	09	19	00	0		Orig= text|Local Time=1799-3-9 14:00
1799	03	10	19	00	0		Orig= text|Local Time=1799-3-10 14:00
1799	03	11	19	00	0		Orig= text|Local Time=1799-3-11 14:00
1799	03	12	19	00	0		Orig= text|Local Time=1799-3-12 14:00
1799	03	13	19	00	0		Orig= text|Local Time=1799-3-13 14:00
1799	03	14	19	00	0		Orig= text|Local Time=1799-3-14 14:00
1799	03	15	19	00	0		Orig= text|Local Time=1799-3-15 14:00
1799	03	16	19	00	0		Orig= text|Local Time=1799-3-16 14:00
1799	03	17	19	00	0		Orig= text|Local Time=1799-3-17 14:00
1799	03	18	19	00	0		Orig= text|Local Time=1799-3-18 14:00
1799	03	19	19	00	0		Orig= text|Local Time=1799-3-19 14:00
1799	03	20	19	00	0		Orig= text|Local Time=1799-3-20 14:00
1799	03	21	19	00	0		Orig= text|Local Time=1799-3-21 14:00
1799	03	22	19	00	0		Orig= text|Local Time=1799-3-22 14:00
1799	03	23	19	00	0		Orig= text|Local Time=1799-3-23 14:00
1799	03	24	19	00	0		Orig= text|Local Time=1799-3-24 14:00
1799	03	25	19	00	0		Orig= text|Local Time=1799-3-25 14:00
1799	03	26	19	00	0		Orig= text|Local Time=1799-3-26 14:00
1799	03	27	19	00	0		Orig= text|Local Time=1799-3-27 14:00
1799	03	28	19	00	0		Orig= text|Local Time=1799-3-28 14:00
1799	03	29	19	00	0		Orig= text|Local Time=1799-3-29 14:00
1799	03	30	19	00	0		Orig= text|Local Time=1799-3-30 14:00
1799	03	31	19	00	0		Orig= text|Local Time=1799-3-31 14:00
1799	04	01	19	00	0		Orig= text|Local Time=1799-4-1 14:00
1799	04	02	19	00	0		Orig= text|Local Time=1799-4-2 14:00
1799	04	03	19	00	0		Orig= text|Local Time=1799-4-3 14:00
1799	04	04	19	00	0		Orig= text|Local Time=1799-4-4 14:00
1799	04	05	19	00	0		Orig= text|Local Time=1799-4-5 14:00
1799	04	06	19	00	0		Orig= text|Local Time=1799-4-6 14:00
1799	04	07	19	00	0		Orig= text|Local Time=1799-4-7 14:00
1799	04	08	19	00	0		Orig= text|Local Time=1799-4-8 14:00
1799	04	09	19	00	0		Orig= text|Local Time=1799-4-9 14:00
1799	04	10	19	00	0		Orig= text|Local Time=1799-4-10 14:00
1799	04	11	19	00	0		Orig= text|Local Time=1799-4-11 14:00
1799	04	12	19	00	0		Orig= text|Local Time=1799-4-12 14:00
1799	04	13	19	00	0		Orig= text|Local Time=1799-4-13 14:00
1799	04	14	19	00	0		Orig= text|Local Time=1799-4-14 14:00
1799	04	15	19	00	0		Orig= text|Local Time=1799-4-15 14:00
1799	04	16	19	00	0		Orig= text|Local Time=1799-4-16 14:00
1799	04	17	19	00	0		Orig= text|Local Time=1799-4-17 14:00
1799	04	18	19	00	0		Orig= text|Local Time=1799-4-18 14:00
1799	04	19	19	00	0		Orig= text|Local Time=1799-4-19 14:00
1799	04	20	19	00	0		Orig= text|Local Time=1799-4-20 14:00
1799	04	21	19	00	0		Orig= text|Local Time=1799-4-21 14:00
1799	04	22	19	00	0		Orig= text|Local Time=1799-4-22 14:00
1799	04	23	19	00	0		Orig= text|Local Time=1799-4-23 14:00
1799	04	24	19	00	0		Orig= text|Local Time=1799-4-24 14:00
1799	04	25	19	00	0		Orig= text|Local Time=1799-4-25 14:00
1799	04	26	19	00	0		Orig= text|Local Time=1799-4-26 14:00
1799	04	27	19	00	0		Orig= text|Local Time=1799-4-27 14:00
1799	04	28	19	00	0		Orig= text|Local Time=1799-4-28 14:00
1799	04	29	19	00	0		Orig= text|Local Time=1799-4-29 14:00
1799	04	30	19	00	0		Orig= text|Local Time=1799-4-30 14:00
1799	05	01	19	00	0		Orig= text|Local Time=1799-5-1 14:00
1799	05	02	19	00	0		Orig= text|Local Time=1799-5-2 14:00
1799	05	03	19	00	0		Orig= text|Local Time=1799-5-3 14:00
1799	05	04	19	00	0		Orig= text|Local Time=1799-5-4 14:00
1799	05	05	19	00	0		Orig= text|Local Time=1799-5-5 14:00
1799	05	06	19	00	0		Orig= text|Local Time=1799-5-6 14:00
1799	05	07	19	00	0		Orig= text|Local Time=1799-5-7 14:00
1799	05	08	19	00	0		Orig= text|Local Time=1799-5-8 14:00
1799	05	09	19	00	0		Orig= text|Local Time=1799-5-9 14:00
1799	05	10	19	00	0		Orig= text|Local Time=1799-5-10 14:00
1799	05	11	19	00	0		Orig= text|Local Time=1799-5-11 14:00
1799	05	12	19	00	0		Orig= text|Local Time=1799-5-12 14:00
1799	05	13	19	00	0		Orig= text|Local Time=1799-5-13 14:00
1799	05	14	19	00	0		Orig= text|Local Time=1799-5-14 14:00
1799	05	15	19	00	0		Orig= text|Local Time=1799-5-15 14:00
1799	05	16	19	00	0		Orig= text|Local Time=1799-5-16 14:00
1799	05	17	19	00	0		Orig= text|Local Time=1799-5-17 14:00
1799	05	18	19	00	0		Orig= text|Local Time=1799-5-18 14:00
1799	05	19	19	00	0		Orig= text|Local Time=1799-5-19 14:00
1799	05	20	19	00	0		Orig= text|Local Time=1799-5-20 14:00
1799	05	21	19	00	0		Orig= text|Local Time=1799-5-21 14:00
1799	05	22	19	00	0		Orig= text|Local Time=1799-5-22 14:00
1799	05	23	19	00	0		Orig= text|Local Time=1799-5-23 14:00
1799	05	24	19	00	0		Orig= text|Local Time=1799-5-24 14:00
1799	05	25	19	00	0		Orig= text|Local Time=1799-5-25 14:00
1799	05	26	19	00	0		Orig= text|Local Time=1799-5-26 14:00
1799	05	27	19	00	0		Orig= text|Local Time=1799-5-27 14:00
1799	05	28	19	00	0		Orig= text|Local Time=1799-5-28 14:00
1799	05	29	19	00	0		Orig= text|Local Time=1799-5-29 14:00
1799	05	30	19	00	0		Orig= text|Local Time=1799-5-30 14:00
1799	05	31	19	00	0		Orig= text|Local Time=1799-5-31 14:00
1799	06	01	19	00	0		Orig= text|Local Time=1799-6-1 14:00
1799	06	02	19	00	0		Orig= text|Local Time=1799-6-2 14:00
1799	06	03	19	00	0		Orig= text|Local Time=1799-6-3 14:00
1799	06	04	19	00	0		Orig= text|Local Time=1799-6-4 14:00
1799	06	05	19	00	0		Orig= text|Local Time=1799-6-5 14:00
1799	06	06	19	00	0		Orig= text|Local Time=1799-6-6 14:00
1799	06	07	19	00	0		Orig= text|Local Time=1799-6-7 14:00
1799	06	08	19	00	0		Orig= text|Local Time=1799-6-8 14:00
1799	06	09	19	00	0		Orig= text|Local Time=1799-6-9 14:00
1799	06	10	19	00	0		Orig= text|Local Time=1799-6-10 14:00
1799	06	11	19	00	0		Orig= text|Local Time=1799-6-11 14:00
1799	06	12	19	00	0		Orig= text|Local Time=1799-6-12 14:00
1799	06	13	19	00	0		Orig= text|Local Time=1799-6-13 14:00
1799	06	14	19	00	0		Orig= text|Local Time=1799-6-14 14:00
1799	06	15	19	00	0		Orig= text|Local Time=1799-6-15 14:00
1799	06	16	19	00	0		Orig= text|Local Time=1799-6-16 14:00
1799	06	17	19	00	0		Orig= text|Local Time=1799-6-17 14:00
1799	06	18	19	00	0		Orig= text|Local Time=1799-6-18 14:00
1799	06	19	19	00	0		Orig= text|Local Time=1799-6-19 14:00
1799	06	20	19	00	0		Orig= text|Local Time=1799-6-20 14:00
1799	06	21	19	00	0		Orig= text|Local Time=1799-6-21 14:00
1799	06	22	19	00	0		Orig= text|Local Time=1799-6-22 14:00
1799	06	23	19	00	0		Orig= text|Local Time=1799-6-23 14:00
1799	06	24	19	00	0		Orig= text|Local Time=1799-6-24 14:00
1799	06	25	19	00	0		Orig= text|Local Time=1799-6-25 14:00
1799	06	26	19	00	0		Orig= text|Local Time=1799-6-26 14:00
1799	06	27	19	00	0		Orig= text|Local Time=1799-6-27 14:00
1799	06	28	19	00	0		Orig= text|Local Time=1799-6-28 14:00
1799	06	29	19	00	0		Orig= text|Local Time=1799-6-29 14:00
1799	06	30	19	00	0		Orig= text|Local Time=1799-6-30 14:00
1799	07	01	19	00	0		Orig= text|Local Time=1799-7-1 14:00
1799	07	02	19	00	0		Orig= text|Local Time=1799-7-2 14:00
1799	07	03	19	00	0		Orig= text|Local Time=1799-7-3 14:00
1799	07	04	19	00	0		Orig= text|Local Time=1799-7-4 14:00
1799	07	05	19	00	0		Orig= text|Local Time=1799-7-5 14:00
1799	07	06	19	00	0		Orig= text|Local Time=1799-7-6 14:00
1799	07	07	19	00	0		Orig= text|Local Time=1799-7-7 14:00
1799	07	08	19	00	0		Orig= text|Local Time=1799-7-8 14:00
1799	07	09	19	00	0		Orig= text|Local Time=1799-7-9 14:00
1799	07	10	19	00	0		Orig= text|Local Time=1799-7-10 14:00
1799	07	11	19	00	0		Orig= text|Local Time=1799-7-11 14:00
1799	07	12	19	00	0		Orig= text|Local Time=1799-7-12 14:00
1799	07	13	19	00	0		Orig= text|Local Time=1799-7-13 14:00
1799	07	14	19	00	0		Orig= text|Local Time=1799-7-14 14:00
1799	07	15	19	00	0		Orig= text|Local Time=1799-7-15 14:00
1799	07	16	19	00	0		Orig= text|Local Time=1799-7-16 14:00
1799	07	17	19	00	0		Orig= text|Local Time=1799-7-17 14:00
1799	07	18	19	00	0		Orig= text|Local Time=1799-7-18 14:00
1799	07	19	19	00	0		Orig= text|Local Time=1799-7-19 14:00
1799	07	20	19	00	0		Orig= text|Local Time=1799-7-20 14:00
1799	07	21	19	00	0		Orig= text|Local Time=1799-7-21 14:00
1799	07	22	19	00	0		Orig= text|Local Time=1799-7-22 14:00
1799	07	23	19	00	0		Orig= text|Local Time=1799-7-23 14:00
1799	07	24	19	00	0		Orig= text|Local Time=1799-7-24 14:00
1799	07	25	19	00	0		Orig= text|Local Time=1799-7-25 14:00
1799	07	26	19	00	0		Orig= text|Local Time=1799-7-26 14:00
1799	07	27	19	00	0		Orig= text|Local Time=1799-7-27 14:00
1799	07	28	19	00	0		Orig= text|Local Time=1799-7-28 14:00
1799	07	29	19	00	0		Orig= text|Local Time=1799-7-29 14:00
1799	07	30	19	00	0		Orig= text|Local Time=1799-7-30 14:00
1799	07	31	19	00	0		Orig= text|Local Time=1799-7-31 14:00
1799	08	01	19	00	0		Orig= text|Local Time=1799-8-1 14:00
1799	08	02	19	00	0		Orig= text|Local Time=1799-8-2 14:00
1799	08	03	19	00	0		Orig= text|Local Time=1799-8-3 14:00
1799	08	04	19	00	0		Orig= text|Local Time=1799-8-4 14:00
1799	08	05	19	00	0		Orig= text|Local Time=1799-8-5 14:00
1799	08	06	19	00	0		Orig= text|Local Time=1799-8-6 14:00
1799	08	07	19	00	0		Orig= text|Local Time=1799-8-7 14:00
1799	08	08	19	00	0		Orig= text|Local Time=1799-8-8 14:00
1799	08	09	19	00	0		Orig= text|Local Time=1799-8-9 14:00
1799	08	10	19	00	0		Orig= text|Local Time=1799-8-10 14:00
1799	08	11	19	00	0		Orig= text|Local Time=1799-8-11 14:00
1799	08	12	19	00	0		Orig= text|Local Time=1799-8-12 14:00
1799	08	13	19	00	0		Orig= text|Local Time=1799-8-13 14:00
1799	08	14	19	00	0		Orig= text|Local Time=1799-8-14 14:00
1799	08	15	19	00	0		Orig= text|Local Time=1799-8-15 14:00
1799	08	16	19	00	0		Orig= text|Local Time=1799-8-16 14:00
1799	08	17	19	00	0		Orig= text|Local Time=1799-8-17 14:00
1799	08	18	19	00	0		Orig= text|Local Time=1799-8-18 14:00
1799	08	19	19	00	0		Orig= text|Local Time=1799-8-19 14:00
1799	08	20	19	00	0		Orig= text|Local Time=1799-8-20 14:00
1799	08	21	19	00	0		Orig= text|Local Time=1799-8-21 14:00
1799	08	22	19	00	0		Orig= text|Local Time=1799-8-22 14:00
1799	08	23	19	00	0		Orig= text|Local Time=1799-8-23 14:00
1799	08	24	19	00	0		Orig= text|Local Time=1799-8-24 14:00
1799	08	25	19	00	0		Orig= text|Local Time=1799-8-25 14:00
1799	08	26	19	00	0		Orig= text|Local Time=1799-8-26 14:00
1799	08	27	19	00	0		Orig= text|Local Time=1799-8-27 14:00
1799	08	28	19	00	0		Orig= text|Local Time=1799-8-28 14:00
1799	08	29	19	00	0		Orig= text|Local Time=1799-8-29 14:00
1799	08	30	19	00	0		Orig= text|Local Time=1799-8-30 14:00
1799	08	31	19	00	0		Orig= text|Local Time=1799-8-31 14:00
1799	09	01	19	00	0		Orig= text|Local Time=1799-9-1 14:00
1799	09	02	19	00	0		Orig= text|Local Time=1799-9-2 14:00
1799	09	03	19	00	0		Orig= text|Local Time=1799-9-3 14:00
1799	09	04	19	00	0		Orig= text|Local Time=1799-9-4 14:00
1799	09	05	19	00	0		Orig= text|Local Time=1799-9-5 14:00
1799	09	06	19	00	0		Orig= text|Local Time=1799-9-6 14:00
1799	09	07	19	00	0		Orig= text|Local Time=1799-9-7 14:00
1799	09	08	19	00	0		Orig= text|Local Time=1799-9-8 14:00
1799	09	09	19	00	0		Orig= text|Local Time=1799-9-9 14:00
1799	09	10	19	00	0		Orig= text|Local Time=1799-9-10 14:00
1799	09	11	19	00	0		Orig= text|Local Time=1799-9-11 14:00
1799	09	12	19	00	0		Orig= text|Local Time=1799-9-12 14:00
1799	09	13	19	00	0		Orig= text|Local Time=1799-9-13 14:00
1799	09	14	19	00	0		Orig= text|Local Time=1799-9-14 14:00
1799	09	15	19	00	0		Orig= text|Local Time=1799-9-15 14:00
1799	09	16	19	00	0		Orig= text|Local Time=1799-9-16 14:00
1799	09	17	19	00	0		Orig= text|Local Time=1799-9-17 14:00
1799	09	18	19	00	0		Orig= text|Local Time=1799-9-18 14:00
1799	09	19	19	00	0		Orig= text|Local Time=1799-9-19 14:00
1799	09	20	19	00	0		Orig= text|Local Time=1799-9-20 14:00
1799	09	21	19	00	0		Orig= text|Local Time=1799-9-21 14:00
1799	09	22	19	00	0		Orig= text|Local Time=1799-9-22 14:00
1799	09	23	19	00	0		Orig= text|Local Time=1799-9-23 14:00
1799	09	24	19	00	0		Orig= text|Local Time=1799-9-24 14:00
1799	09	25	19	00	0		Orig= text|Local Time=1799-9-25 14:00
1799	09	26	19	00	0		Orig= text|Local Time=1799-9-26 14:00
1799	09	27	19	00	0		Orig= text|Local Time=1799-9-27 14:00
1799	09	28	19	00	0		Orig= text|Local Time=1799-9-28 14:00
1799	09	29	19	00	0		Orig= text|Local Time=1799-9-29 14:00
1799	09	30	19	00	0		Orig= text|Local Time=1799-9-30 14:00
1799	10	01	19	00	0		Orig= text|Local Time=1799-10-1 14:00
1799	10	02	19	00	0		Orig= text|Local Time=1799-10-2 14:00
1799	10	03	19	00	0		Orig= text|Local Time=1799-10-3 14:00
1799	10	04	19	00	0		Orig= text|Local Time=1799-10-4 14:00
1799	10	05	19	00	0		Orig= text|Local Time=1799-10-5 14:00
1799	10	06	19	00	0		Orig= text|Local Time=1799-10-6 14:00
1799	10	07	19	00	0		Orig= text|Local Time=1799-10-7 14:00
1799	10	08	19	00	0		Orig= text|Local Time=1799-10-8 14:00
1799	10	09	19	00	0		Orig= text|Local Time=1799-10-9 14:00
1799	10	10	19	00	0		Orig= text|Local Time=1799-10-10 14:00
1799	10	11	19	00	0		Orig= text|Local Time=1799-10-11 14:00
1799	10	12	19	00	0		Orig= text|Local Time=1799-10-12 14:00
1799	10	13	19	00	0		Orig= text|Local Time=1799-10-13 14:00
1799	10	14	19	00	0		Orig= text|Local Time=1799-10-14 14:00
1799	10	15	19	00	0		Orig= text|Local Time=1799-10-15 14:00
1799	10	16	19	00	0		Orig= text|Local Time=1799-10-16 14:00
1799	10	17	19	00	0		Orig= text|Local Time=1799-10-17 14:00
1799	10	18	19	00	0		Orig= text|Local Time=1799-10-18 14:00
1799	10	19	19	00	0		Orig= text|Local Time=1799-10-19 14:00
1799	10	20	19	00	0		Orig= text|Local Time=1799-10-20 14:00
1799	10	21	19	00	0		Orig= text|Local Time=1799-10-21 14:00
1799	10	22	19	00	0		Orig= text|Local Time=1799-10-22 14:00
1799	10	23	19	00	0		Orig= text|Local Time=1799-10-23 14:00
1799	10	24	19	00	0		Orig= text|Local Time=1799-10-24 14:00
1799	10	25	19	00	0		Orig= text|Local Time=1799-10-25 14:00
1799	10	26	19	00	0		Orig= text|Local Time=1799-10-26 14:00
1799	10	27	19	00	0		Orig= text|Local Time=1799-10-27 14:00
1799	10	28	19	00	0		Orig= text|Local Time=1799-10-28 14:00
1799	10	29	19	00	0		Orig= text|Local Time=1799-10-29 14:00
1799	10	30	19	00	0		Orig= text|Local Time=1799-10-30 14:00
1799	10	31	19	00	0		Orig= text|Local Time=1799-10-31 14:00
1799	11	01	19	00	0		Orig= text|Local Time=1799-11-1 14:00
1799	11	02	19	00	0		Orig= text|Local Time=1799-11-2 14:00
1799	11	03	19	00	0		Orig= text|Local Time=1799-11-3 14:00
1799	11	04	19	00	0		Orig= text|Local Time=1799-11-4 14:00
1799	11	05	19	00	0		Orig= text|Local Time=1799-11-5 14:00
1799	11	06	19	00	0		Orig= text|Local Time=1799-11-6 14:00
1799	11	07	19	00	0		Orig= text|Local Time=1799-11-7 14:00
1799	11	08	19	00	0		Orig= text|Local Time=1799-11-8 14:00
1799	11	09	19	00	0		Orig= text|Local Time=1799-11-9 14:00
1799	11	10	19	00	0		Orig= text|Local Time=1799-11-10 14:00
1799	11	11	19	00	0		Orig= text|Local Time=1799-11-11 14:00
1799	11	12	19	00	0		Orig= text|Local Time=1799-11-12 14:00
1799	11	13	19	00	0		Orig= text|Local Time=1799-11-13 14:00
1799	11	14	19	00	0		Orig= text|Local Time=1799-11-14 14:00
1799	11	15	19	00	0		Orig= text|Local Time=1799-11-15 14:00
1799	11	16	19	00	0		Orig= text|Local Time=1799-11-16 14:00
1799	11	17	19	00	0		Orig= text|Local Time=1799-11-17 14:00
1799	11	18	19	00	0		Orig= text|Local Time=1799-11-18 14:00
1799	11	19	19	00	0		Orig= text|Local Time=1799-11-19 14:00
1799	11	20	19	00	0		Orig= text|Local Time=1799-11-20 14:00
1799	11	21	19	00	0		Orig= text|Local Time=1799-11-21 14:00
1799	11	22	19	00	0		Orig= text|Local Time=1799-11-22 14:00
1799	11	23	19	00	0		Orig= text|Local Time=1799-11-23 14:00
1799	11	24	19	00	0		Orig= text|Local Time=1799-11-24 14:00
1799	11	25	19	00	0		Orig= text|Local Time=1799-11-25 14:00
1799	11	26	19	00	0		Orig= text|Local Time=1799-11-26 14:00
1799	11	27	19	00	0		Orig= text|Local Time=1799-11-27 14:00
1799	11	28	19	00	0		Orig= text|Local Time=1799-11-28 14:00
1799	11	29	19	00	0		Orig= text|Local Time=1799-11-29 14:00
1799	11	30	19	00	0		Orig= text|Local Time=1799-11-30 14:00
1799	12	01	19	00	0		Orig= text|Local Time=1799-12-1 14:00
1799	12	02	19	00	0		Orig= text|Local Time=1799-12-2 14:00
1799	12	03	19	00	0		Orig= text|Local Time=1799-12-3 14:00
1799	12	04	19	00	0		Orig= text|Local Time=1799-12-4 14:00
1799	12	05	19	00	0		Orig= text|Local Time=1799-12-5 14:00
1799	12	06	19	00	0		Orig= text|Local Time=1799-12-6 14:00
1799	12	07	19	00	0		Orig= text|Local Time=1799-12-7 14:00
1799	12	08	19	00	0		Orig= text|Local Time=1799-12-8 14:00
1799	12	09	19	00	0		Orig= text|Local Time=1799-12-9 14:00
1799	12	10	19	00	0		Orig= text|Local Time=1799-12-10 14:00
1799	12	11	19	00	0		Orig= text|Local Time=1799-12-11 14:00
1799	12	12	19	00	0		Orig= text|Local Time=1799-12-12 14:00
1799	12	13	19	00	0		Orig= text|Local Time=1799-12-13 14:00
1799	12	14	19	00	0		Orig= text|Local Time=1799-12-14 14:00
1799	12	15	19	00	0		Orig= text|Local Time=1799-12-15 14:00
1799	12	16	19	00	0		Orig= text|Local Time=1799-12-16 14:00
1799	12	17	19	00	0		Orig= text|Local Time=1799-12-17 14:00
1799	12	18	19	00	0		Orig= text|Local Time=1799-12-18 14:00
1799	12	19	19	00	0		Orig= text|Local Time=1799-12-19 14:00
1799	12	20	19	00	0		Orig= text|Local Time=1799-12-20 14:00
1799	12	21	19	00	0		Orig= text|Local Time=1799-12-21 14:00
1799	12	22	19	00	0		Orig= text|Local Time=1799-12-22 14:00
1799	12	23	19	00	0		Orig= text|Local Time=1799-12-23 14:00
1799	12	24	19	00	0		Orig= text|Local Time=1799-12-24 14:00
1799	12	25	19	00	0		Orig= text|Local Time=1799-12-25 14:00
1799	12	26	19	00	0		Orig= text|Local Time=1799-12-26 14:00
1799	12	27	19	00	0		Orig= text|Local Time=1799-12-27 14:00
1799	12	28	19	00	0		Orig= text|Local Time=1799-12-28 14:00
1799	12	29	19	00	0		Orig= text|Local Time=1799-12-29 14:00
1799	12	30	19	00	0		Orig= text|Local Time=1799-12-30 14:00
1799	12	31	19	00	0		Orig= text|Local Time=1799-12-31 14:00
1800	01	01	19	00	0		Orig= text|Local Time=1800-1-1 14:00
1800	01	02	19	00	0		Orig= text|Local Time=1800-1-2 14:00
1800	01	03	19	00	0		Orig= text|Local Time=1800-1-3 14:00
1800	01	04	19	00	0		Orig= text|Local Time=1800-1-4 14:00
1800	01	05	19	00	0		Orig= text|Local Time=1800-1-5 14:00
1800	01	06	19	00	0		Orig= text|Local Time=1800-1-6 14:00
